mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.2476219892501832,0.2634331194942985,0.19331889152526854,0.08908026869689073,0.0,{'ccp_alpha': 0.0},-4390.43785010156,-4995.932600114944,-5306.172670028959,-4727.032945445215,-5278.551554914865,-4151.791031539569,-5309.133415591103,-5435.7156379841845,-4047.756071567941,-5494.932574995566,-4913.745635228391,519.5791453111563,968
1.5707093715667724,0.1792144976091683,0.11312651634216309,0.046495062542736436,1000.0,{'ccp_alpha': 1000.0},-4401.739726915566,-5002.696388242075,-5309.146604574359,-4735.827555078613,-5275.360836970894,-4154.888871763762,-5290.148368780623,-5440.508323487151,-4060.510547273873,-5497.043643983776,-4916.787086707069,514.9757590053251,973
1.458574151992798,0.16525725979102487,0.22878470420837402,0.13101361061587102,2000.0,{'ccp_alpha': 2000.0},-4407.471819595425,-5007.33664922914,-5318.57121833612,-4731.7002142807505,-5273.666452992655,-4164.353306830381,-5282.937779400661,-5441.753542180019,-4068.3248210611214,-5501.659124292582,-4919.777492819885,512.6732467135819,978
1.3492217540740967,0.20929004140248822,0.25135316848754885,0.12346716597792337,3000.0,{'ccp_alpha': 3000.0},-4412.044023106027,-5005.921098676089,-5325.41811908953,-4727.908645621487,-5272.677950478849,-4172.931537178075,-5279.061233217333,-5441.060849795205,-4073.0482446665164,-5503.671643076528,-4921.374334490565,510.6435182688813,983
1.4415085792541504,0.2119466966799811,0.2361098051071167,0.12050188925178162,4000.0,{'ccp_alpha': 4000.0},-4414.6751933540045,-5005.176452331155,-5329.588397291888,-4724.956776692454,-5274.099294776325,-4178.8383487305955,-5276.493347632411,-5440.683924385353,-4075.0191531306755,-5502.70281773077,-4922.223370605564,509.3922490468155,994
1.3766251087188721,0.34604911309305564,0.19651849269866944,0.07292044972778043,5000.0,{'ccp_alpha': 5000.0},-4417.0215301011385,-5002.55354034047,-5330.620025654746,-4725.1950825323365,-5274.481382337542,-4184.73951050699,-5275.4172986564,-5441.5424009917315,-4078.0416444173907,-5502.659395127367,-4923.227181066612,507.86167958233415,999
1.4317006111145019,0.292487623625812,0.21319739818572997,0.09465684570016342,6000.0,{'ccp_alpha': 6000.0},-4417.760689663265,-5001.135313770264,-5331.51655383185,-4724.806755040815,-5275.268033038211,-4188.7062781401155,-5274.437483308704,-5440.8415856394595,-4079.54693257293,-5502.982457744622,-4923.700208275023,506.97872735967496,1001
1.4599862813949585,0.22197906701078218,0.21009366512298583,0.11819606144548833,7000.0,{'ccp_alpha': 7000.0},-4415.947507566371,-4998.542652173861,-5334.487905074761,-4725.212229967188,-5273.9969196492375,-4192.871366417373,-5273.850089139213,-5438.213170921831,-4079.6261449093345,-5501.428710154115,-4923.417669597328,506.15568393537893,1000
1.368789052963257,0.30535457219459766,0.18544085025787355,0.10931549713788925,8000.0,{'ccp_alpha': 8000.0},-4413.74650971497,-4996.07184009212,-5334.801537904353,-4724.099663903134,-5271.931524958362,-4197.339875260887,-5273.326841226426,-5439.775052187924,-4078.8771948437593,-5500.380867796086,-4923.035090788801,505.75227155828065,998
1.352419114112854,0.28492429682503856,0.20413827896118164,0.09679735578936648,9000.0,{'ccp_alpha': 9000.0},-4412.225739026729,-4993.063407878658,-5334.294871028062,-4724.718794871181,-5270.475127129576,-4202.091626821972,-5273.942429927323,-5439.38223027913,-4077.840360073125,-5499.44262886656,-4922.747721590231,505.08588005337214,997
1.4688451290130615,0.22256983711135722,0.13640429973602294,0.06720155942251442,10000.0,{'ccp_alpha': 10000.0},-4410.24963006641,-4991.714253963982,-5335.355964537923,-4723.432093263464,-5270.574618957641,-4204.1300067826905,-5274.813350226691,-5438.422744145345,-4077.120560436624,-5498.194997377232,-4922.400821975801,505.06163228527976,995
1.4951173543930054,0.20039857709875541,0.1647587776184082,0.06381991231471208,11000.0,{'ccp_alpha': 11000.0},-4408.186683385984,-4993.505029739768,-5336.432659120779,-4724.067444529349,-5269.883686886663,-4205.864464469457,-5274.104326502435,-5439.0276800171705,-4076.407935846731,-5497.187164788513,-4922.466707528684,505.0822802181293,996
1.4011744499206542,0.26447273485276956,0.176420259475708,0.04313176114404178,12000.0,{'ccp_alpha': 12000.0},-4406.793692705627,-4993.000091944558,-5334.7537549610115,-4723.099333815685,-5268.646953271826,-4207.495824722844,-5273.698177288918,-5440.064082332853,-4076.2791143141685,-5496.161994293076,-4921.9993019650565,504.78449159605043,992
1.4770819187164306,0.31731670618639335,0.1737821102142334,0.11022388522680722,13000.0,{'ccp_alpha': 13000.0},-4404.24700703317,-4993.497102827591,-5333.803553958183,-4724.2304680248035,-5268.178345868141,-4208.842984254398,-5273.770673387786,-5442.171762479015,-4076.23615635583,-5495.289563850937,-4922.026761803985,504.8372008613014,993
1.4781227111816406,0.14205018582297552,0.18632259368896484,0.07252089926972476,14000.0,{'ccp_alpha': 14000.0},-4402.992763694259,-4993.6926124743895,-5333.492589154358,-4723.303642204629,-5267.01269210297,-4210.564636859618,-5274.083698305599,-5440.753845568174,-4075.7180057601827,-5494.342242858535,-4921.595672898271,504.512088460245,987
